,Current balance USD,Donations BTC,Donations USD,N donations
Apollonian Germ,0.0,0.05565107,782.903740387266,4.0
Baked Alaska,0.0,0.07968881,936.1292336107731,3.0
Black Pigeon Speaks,492.75872427319996,0.18866384,854.044312560373,19.0
Black Pilled,588.296346123346,0.66249336,2784.0097387635756,59.0
Blonde in the Belly of the Beast,4.72446,1.93064443,20697.081334757997,18.0
Cosmic Claire,1362.6137043952,8.55025641,50778.55722877089,241.0
Count Dankula,76.135840266669,0.38268105,2524.1076955181793,51.0
Defense Distributed,5656.588912731663,7.36039651,2890.7729954580404,88.0
Der Volkslehrer,1063.00706695755,0.70119574,3631.978378046111,72.0
DetlefF. Artist,0.0,0.01719158,155.03327728379998,3.0
Faith J Goldy,291.5517696832,1.73695064,17950.97690658809,97.0
Freie heimat,2967.6427577434747,5.96596105,31107.247607904115,287.0
Hagen Grell,2114.4710019264,0.55433741,2703.7542495154494,60.0
Hagens HirnTicker,2114.4710019264,0.55433741,2703.7542495154494,60.0
Identitaere Berlin-Brandenburg,1.1011517516,3.37136328,20369.82360126462,76.0
Identitaere Bewegung Deutschland,1.1011517516,3.37136328,20369.82360126462,76.0
James Allsup,8371.235898594223,1.24459663,14787.115925027907,18.0
Jean-Francois Gariepy,38.375184769200004,1.08912724,7181.432215987957,32.0
Ken O'Keefe,32.62813181760001,107.22723138,30552.09401452302,18.0
Lauren Chen,165.63633046931997,0.0176914,201.57971386932002,3.0
Lauren Southern,1362.6137043952,8.55025641,50778.55722877089,241.0
Little Enterprises Cali,67.010182076496,0.19980393,1291.154146020752,23.0
Mark Collett,320.26290967875,0.14974999,966.7059570366739,18.0
Martin Sellner,1857.5990235021,1.87401393,10145.417598460966,77.0
Matthew Drake,150.446650701153,9.6200065,8187.951396912073,24.0
Mike Cernovich,0.0,0.364,3249.3113565,4.0
Millennial Woes,0.0,0.22298748,1300.9769221306842,13.0
Morrakiu,59.138930380458,0.46975646,663.0243805321119,28.0
Mundane Chats,306.005391500325,0.08696983,647.087517350167,10.0
No White Guilt,38.375184769200004,1.66038273,12221.83584022305,73.0
Nordisk alternativhoger,54.242307,0.11161694,1211.3416181370558,7.0
Nordiska motstandsrarelsen,4052.1179455447063,1.61912877,4465.660585722582,34.0
OpenMind,0.0,6.98655019,56359.05420910634,34.0
Palaestra Media,0.0,0.02004416,103.271780853472,3.0
PeterSweden,1.296195647644,0.11148536,1231.748811080452,7.0
Poseidon,1.9732320666240002,0.00025098,1.973232066624,1.0
Red Ice TV,399.040621640932,1.94338727,13196.327648131157,103.0
Right Wing Federation,0.0,0.51222072,135.88702411836,8.0
Roosh V,36.227133,0.04156993,232.961214931497,12.0
Sprachenrassist,102.394843850483,0.23034627,1651.711845532029,15.0
Stan,90.017205755883,2.35023718,23114.2899370646,46.0
StateofNation,0.0,0.00776469,7.666437942147001,1.0
Stefan Molyneux,896.4477765165301,1231.5343853,1266550.3946980159,4645.0
Steve Franssen,0.0,56.44827061,84225.57260724882,179.0
Styxhexenhammer666,363.992118672609,0.38150915,2256.872165116731,50.0
The Alternative Hypothesis,0.0,0.065,406.64828200000005,2.0
The Rubin Report,832.076370465606,0.82870912,3077.133232563495,180.0
The Still Report,69.76185414260001,20.8210928,31485.371296010682,95.0
Thinking-Ape,1413.10234150525,1.03854174,436.636006104841,38.0
Tim Pool,740.734702654875,7.41694253,37867.62216914582,151.0
Timcast,599.9863658613,7.24575987,37301.01658480046,126.0
Tommy Robinson,366.191977837251,1.97361603,12446.740323901593,28.0
Tyrant Fashister,59.138930380458,0.46975646,663.0243805321119,28.0
boilingpoint,19.517247644775,0.00376893,29.278328624775,2.0
r v K Today,896.4477765165301,1231.5343853,1266550.3946980159,4645.0
tolvajkergetok,0.0,0.12729744,757.194300191272,7.0
